Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/28/17,H Energy Llc,"H&S ENERGY, LLC",45.25,debit,Utilities,CREDIT CARD,,
8/28/17,Trader Joe's,TRADER JOE'S # 107,10.74,debit,Groceries,CREDIT CARD,,
8/28/17,Philz Coffee Inc.,SQ *PHILZ COFFEE,10,debit,Coffee Shops,CREDIT CARD,,
8/28/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,660.52,debit,Credit Card Payment,CHASE COLLEGE,,
8/27/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,660.52,credit,Credit Card Payment,CREDIT CARD,,
8/27/17,Trader Joe's,TRADER JOE'S #170  QPS,102.74,debit,Groceries,CREDIT CARD,,
8/26/17,24 Hour Fitness,"24HOUR FITNESS USA,INC 800-432-6348 CA",49.99,debit,Gym,BankAmericard Travel Rewards Visa Signature,,
8/25/17,Costco,COSTCO WHSE #0422 SOUTH SAN FRACA,5.45,debit,Shopping,Costco Anywhere Visa Card by Citi,,
8/25/17,Ramen Dojo,RAMEN DOJO,43.13,debit,Gym,CREDIT CARD,,
8/24/17,Playstation Network,PLAYSTATION NETWORK 800-345-7669 CA,5,debit,Entertainment,Costco Anywhere Visa Card by Citi,,
8/23/17,Valero,PETALUMA VALERO,49.68,debit,Gas & Fuel,CREDIT CARD,,
8/22/17,ATM Withdrawal,ATM WITHDRAWAL003097  08/22101 WESTE,20,debit,Cash & ATM,CHASE COLLEGE,,
8/22/17,Trader Joe's,TRADER JOE'S #107  QPS,19.51,debit,Groceries,CREDIT CARD,,
8/22/17,Anette Chocolates,ANETTE`S CHOCOLATES 1321,11.85,debit,Restaurants,CREDIT CARD,,
8/21/17,Peet's Coffee,PEETS 15902,11.3,debit,Coffee Shops,CREDIT CARD,,
8/20/17,Newegg,WWW.NEWEGG.COM,85.79,debit,Electronics & Software,CREDIT CARD,,
8/20/17,Taqueria,TAQUERIA SAN BRUNO,22.73,debit,Restaurants,CREDIT CARD,,
8/17/17,Nintendo Digital,NINTENDO OF AMERICA-US,19.99,debit,Entertainment,CREDIT CARD,,
